id,name,website,hq_or_states,source_of_name,source_url,source_type,notes,ce_verified_partner,fee_schedule_published,transparency_gate,all_in_eligible,grade_status,nr_flag,exit_flag,grade_v1,grade_v2_score,graded_as_of,grade_notes
baron-finance,Baron Finance,https://revinc.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
benefactor,Benefactor,https://www.gobenefactor.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
blu-capital,Blu Capital,https://blucapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
blue-ridge-factors,Blue Ridge Factors,https://blueridgefactors.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bridge-capital,Bridge Capital,https://bridgecapitalfactoring.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bridgeport-capital-funding,Bridgeport Capital Funding,https://www.bridgeportcapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
business-factors-finance,Business Factors & Finance,https://businessfactors.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bvd-capital,BVD Capital,https://bvdcapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
capefirst-funding,Capefirst Funding,https://capefirst.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
capital-funding-solutions,Capital Funding Solutions,https://cfsfunds.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
capital-solutions-bancorp,Capital Solutions Bancorp,https://capitalsolutionsbancorp.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
carolina-piedmont-capital,Carolina Piedmont Capital,https://carolinapiedmontcapital.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
carriernet-group-financial,CarrierNet Group Financial,https://carriernetgroup.com/,SD Sioux Falls,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
cbac-funding,CBAC Funding,https://cbacfunding.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
century-finance,Century Finance,https://www.centuryfinance.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
cj-financing,CJ Financing,https://cjfinancing.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
cjm-financial,CJM Financial,https://cjmfinancial.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
coast-to-coast-capital,Coast to Coast Capital,https://coasttocoastcapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
commerce-commercial-credit,Commerce Commercial Credit,https://www.commercecommercialcredit.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
commonwealth-capital,Commonwealth Capital,https://commonwealthmn.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
concept-financial,Concept Financial Group,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
convoy-capital,Convoy Capital,https://convoycapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
copperwood-capital,Copperwood Capital,https://www.copperwoodnyc.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
corefund-capital,CoreFund Capital,https://www.corefundcapital.com/,TX Weatherford,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved + LMDR listicle; Weatherford TX; CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
corporate-billing,Corporate Billing,https://www.corpbill.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved; corpbill.com / SouthState orbit; CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
creative-capital-associates,Creative Capital Associates,https://www.ccassociates.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
csi-factoring,CSI Factoring,https://www.csifactoring.com/,CO Denver,FactoringClub trucking directory,https://factoringclub.com/factoring-companies/trucking/page/2/,directory,FactoringClub trucking directory; FactoringClub trucking directory — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
cst-financial,CST Financial Services,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
dash-point-financial,Dash Point Financial,https://www.dashpointfinancial.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
db-squared,DB Squared,https://www.dbsquared.com,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
dcl-funding,DCL Funding,https://dclfunding.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
diversified-transportation-finance,Diversified Transportation Finance,https://diversifiedtf.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
dorado-finance,Dorado Finance,https://doradofinance.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
abingdon-business-capital,Duvera Financial,https://www.duvera.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FD listed as Abingdon Business Capital; site duvera.com (Duvera Financial); FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
eagle-capital,Eagle Capital Corporation,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
ei-funding,ei Funding,https://eifunding.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
engaged-financial,Engaged Financial,https://www.engagedfinancial.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
engs-commercial-capital,ENGS Commercial Capital,https://engsfinance.com/,AL Birmingham,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved; Birmingham AL commercial finance incl factoring; CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
enoble-business-capital,Enoble Business Capital,http://enoble.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
expocredit,ExpoCredit,https://expocredit.com/es/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
ez-factoring,EZ Factoring,https://www.google.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
facteon,Facteon,https://facteon.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factor-direct,Factor Direct,https://factordirect.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factor-for-now,Factor For Now,https://factorfornow.com/,,QuickTransportSolutions freight-factoring directory,https://www.quicktransportsolutions.com/freight-factoring-companies.php,directory,QuickTransportSolutions freight-factoring directory — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factor-king,Factor King,https://factorking.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factor-plus,Factor Plus,https://factorplus.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factoring-express,Factoring Express,https://factoringexpress.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factoring-solutions,Factoring Solutions,https://factoringsolutions.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factors-southwest,Factors Southwest,https://factorssouthwest.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factors-western,Factors Western,https://factorswestern.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factorway,Factorway,https://factorway.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
financial-carrier,Financial Carrier Services,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
flash-funding,Flash Funding,https://flashfunding.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
flat-rate-funding,Flat Rate Funding Group,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
fostrian-business-capital,Fostrian Business Capital,https://www.fostrian.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
freight-collect,Freight Collect,https://freightcollect.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
freight-finance,Freight Finance,https://freightfinance.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
freight-funding,Freight Funding,https://freightfunding.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
freightcheck,FreightCheck,https://freightcheck.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
front-range-factoring,Front Range Factoring,https://frontrangefactoring.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
frontier-fiscal,Frontier Fiscal Services,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
